w	r	param_key	default	required	module_file
XmlToBase64	encode	downloadCode		true	./api/contrib/XmlToBase64/module.php
cala	cala_core	iam		true	./api/modules/cala/module.php
cala	cala_core	r	cala_empty	true	./api/modules/cala/module.php
cala	cala_core	replyType	json	true	./api/modules/cala/module.php
cala	cala_core	sessionKey		true	./api/modules/cala/module.php
cala	cala_core	w	cala	true	./api/modules/cala/module.php
cala	cala_test_install	cronKey		false	./api/modules/cala/module.php
check	checkxml	formato		true	./api/contrib/check/module.php
check	checkxml	tipoDocumento		true	./api/contrib/check/module.php
check	checkxml	tipoDocumento		true	./api/contrib/check/module.php
check	checkxml	xml		true	./api/contrib/check/module.php
clave	clave	cedula		true	./api/contrib/clave/module.php
clave	clave	codigoPais		false	./api/contrib/clave/module.php
clave	clave	codigoSeguridad		true	./api/contrib/clave/module.php
clave	clave	consecutivo		true	./api/contrib/clave/module.php
clave	clave	situacion		true	./api/contrib/clave/module.php
clave	clave	sucursal		false	./api/contrib/clave/module.php
clave	clave	terminal		false	./api/contrib/clave/module.php
clave	clave	tipoCedula		true	./api/contrib/clave/module.php
clave	clave	tipoDocumento		true	./api/contrib/clave/module.php
consultar	consultarCom	clave		true	./api/contrib/consultar/module.php
consultar	consultarCom	client_id		true	./api/contrib/consultar/module.php
consultar	consultarCom	token		true	./api/contrib/consultar/module.php
crlibreall	FE	cedula		true	./api/contrib/crlibreall/module.php
crlibreall	FE	clave		true	./api/contrib/crlibreall/module.php
crlibreall	FE	cod_moneda		true	./api/contrib/crlibreall/module.php
crlibreall	FE	codigoPais		true	./api/contrib/crlibreall/module.php
crlibreall	FE	codigoSeguridad		true	./api/contrib/crlibreall/module.php
crlibreall	FE	codigo_actividad_emisor		true	./api/contrib/crlibreall/module.php
crlibreall	FE	codigo_actividad_receptor		false	./api/contrib/crlibreall/module.php
crlibreall	FE	condicion_venta		true	./api/contrib/crlibreall/module.php
crlibreall	FE	condicion_venta_otros		false	./api/contrib/crlibreall/module.php
crlibreall	FE	consecutivo		true	./api/contrib/crlibreall/module.php
crlibreall	FE	consecutivo		true	./api/contrib/crlibreall/module.php
crlibreall	FE	detalles		true	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_barrio		false	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_canton		true	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_cod_pais_tel		false	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_distrito		true	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_email		true	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_nombre		true	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_nombre_comercial		false	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_num_identif		true	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_otras_senas		true	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_provincia		true	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_tel		false	./api/contrib/crlibreall/module.php
crlibreall	FE	emisor_tipo_identif		true	./api/contrib/crlibreall/module.php
crlibreall	FE	fecha_emision		true	./api/contrib/crlibreall/module.php
crlibreall	FE	informacion_referencia		true	./api/contrib/crlibreall/module.php
crlibreall	FE	medios_pago		true	./api/contrib/crlibreall/module.php
crlibreall	FE	otros		false	./api/contrib/crlibreall/module.php
crlibreall	FE	otrosCargos		false	./api/contrib/crlibreall/module.php
crlibreall	FE	plazo_credito	0	false	./api/contrib/crlibreall/module.php
crlibreall	FE	proveedor_sistemas		true	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_barrio		false	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_canton		false	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_cod_pais_tel		false	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_distrito		false	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_email		false	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_identif_extranjero		false	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_nombre		true	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_nombre_comercial		false	./api/contrib/crlibreall/module.php
crlibreall	FE	receptor_num_identif		true	./api/contrib/crlibreall/module.php
