w	r	wave	priority	status	parity_status	cutover_status	python_handler	parity_fixture	notes
cala	cala_core	W1_CORE	P2	in_progress	captured	not_cutover	python_api.handlers.cala.cala_core	tests/fixtures/parity/cala/cala_core	python_handler_native_partial_no_parity
cala	cala_default	W1_CORE	P2	in_progress	captured	not_cutover	python_api.handlers.cala.cala_default	tests/fixtures/parity/cala/cala_default	python_handler_native_partial_no_parity
cala	cala_test_install	W1_CORE	P2	in_progress	captured	not_cutover	python_api.handlers.cala.cala_test_install	tests/fixtures/parity/cala/cala_test_install	python_handler_native_partial_no_parity
crypto	desencrypt	W1_CORE	P2	in_progress	captured	not_cutover	python_api.handlers.crypto.desencrypt	tests/fixtures/parity/crypto/desencrypt	python_handler_native_partial_no_parity
crypto	encrypt	W1_CORE	P2	in_progress	captured	not_cutover	python_api.handlers.crypto.encrypt	tests/fixtures/parity/crypto/encrypt	python_handler_native_partial_no_parity
crypto	makeKey	W1_CORE	P2	in_progress	captured	not_cutover	python_api.handlers.crypto.makeKey	tests/fixtures/parity/crypto/makeKey	python_handler_native_partial_no_parity
files	filesGetUrl	W1_CORE	P1	in_progress	captured	not_cutover	python_api.handlers.files.filesGetUrl	tests/fixtures/parity/files/filesGetUrl	python_handler_native_partial_no_parity
files	files_view_file	W1_CORE	P1	in_progress	captured	not_cutover	python_api.handlers.files.files_view_file	tests/fixtures/parity/files/files_view_file	python_handler_native_partial_no_parity
files	upload	W1_CORE	P1	in_progress	captured	not_cutover	python_api.handlers.files.upload	tests/fixtures/parity/files/upload	python_handler_native_partial_no_parity
