w	r	scenario	pass	baseline_status	candidate_status	match_type	details
facturador	getTerminales	validation_error	true	403	403	exact	
facturador	getTerminales	auth_error	true	403	403	exact	
facturador	getTerminales	malformed	true	403	403	exact	
facturador	getUnid	success	true	200	200	exact	
facturador	getUnid	validation_error	true	200	200	exact	
facturador	getUnid	auth_error	true	200	200	exact	
facturador	getUnid	malformed	true	200	200	exact	
facturador	getUserPermissionById	success	true	403	403	exact	
facturador	getUserPermissionById	validation_error	true	403	403	exact	
facturador	getUserPermissionById	auth_error	true	403	403	exact	
facturador	getUserPermissionById	malformed	true	403	403	exact	
facturador	getUsersCompanny	success	true	403	403	exact	
facturador	getUsersCompanny	validation_error	true	403	403	exact	
facturador	getUsersCompanny	auth_error	true	403	403	exact	
facturador	getUsersCompanny	malformed	true	403	403	exact	
facturador	get_active_receiver	success	true	200	200	exact	
facturador	get_active_receiver	validation_error	true	200	200	exact	
facturador	get_active_receiver	auth_error	true	200	200	exact	
facturador	get_active_receiver	malformed	true	200	200	exact	
facturador	get_all_privinces	success	true	200	200	exact	
facturador	get_all_privinces	validation_error	true	200	200	exact	
facturador	get_all_privinces	auth_error	true	200	200	exact	
facturador	get_all_privinces	malformed	true	200	200	exact	
facturador	get_cantons	success	true	200	200	exact	
facturador	get_cantons	validation_error	true	200	200	exact	
facturador	get_cantons	auth_error	true	200	200	exact	
facturador	get_cantons	malformed	true	200	200	exact	
facturador	get_companny_information	success	true	200	200	exact	
facturador	get_companny_information	validation_error	true	200	200	exact	
facturador	get_companny_information	auth_error	true	200	200	exact	
facturador	get_companny_information	malformed	true	200	200	exact	
facturador	get_companny_information_admin	success	true	200	200	exact	
facturador	get_companny_information_admin	validation_error	true	200	200	exact	
facturador	get_companny_information_admin	auth_error	true	200	200	exact	
facturador	get_companny_information_admin	malformed	true	200	200	exact	
facturador	get_district	success	true	200	200	exact	
facturador	get_district	validation_error	true	200	200	exact	
facturador	get_district	auth_error	true	200	200	exact	
facturador	get_district	malformed	true	200	200	exact	
facturador	get_inventory	success	true	200	200	exact	
facturador	get_inventory	validation_error	true	200	200	exact	
facturador	get_inventory	auth_error	true	200	200	exact	
facturador	get_inventory	malformed	true	200	200	exact	
facturador	get_neighborhood	success	true	200	200	exact	
facturador	get_neighborhood	validation_error	true	200	200	exact	
facturador	get_neighborhood	auth_error	true	200	200	exact	
facturador	get_neighborhood	malformed	true	200	200	exact	
facturador	get_prod_companny_credentials	success	true	200	200	exact	
facturador	get_prod_companny_credentials	validation_error	true	200	200	exact	
facturador	get_prod_companny_credentials	auth_error	true	200	200	exact	
facturador	get_prod_companny_credentials	malformed	true	200	200	exact	
facturador	get_prod_credentials	success	true	200	200	exact	
facturador	get_prod_credentials	validation_error	true	200	200	exact	
facturador	get_prod_credentials	auth_error	true	200	200	exact	
facturador	get_prod_credentials	malformed	true	200	200	exact	
facturador	get_receiver_by_id	success	true	200	200	exact	
