w	r	scenario	pass	baseline_status	candidate_status	match_type	details
facturador	companny_users_getMyDetails	malformed	true	200	200	exact	
facturador	companny_users_get_my_details	success	true	200	200	exact	
facturador	companny_users_get_my_details	validation_error	true	200	200	exact	
facturador	companny_users_get_my_details	auth_error	true	200	200	exact	
facturador	companny_users_get_my_details	malformed	true	200	200	exact	
facturador	companny_users_logMeIn	success	true	200	200	exact	
facturador	companny_users_logMeIn	validation_error	true	200	200	exact	
facturador	companny_users_logMeIn	auth_error	true	200	200	exact	
facturador	companny_users_logMeIn	malformed	true	200	200	exact	
facturador	companny_users_recover_pwd	success	true	200	200	exact	
facturador	companny_users_recover_pwd	validation_error	true	200	200	exact	
facturador	companny_users_recover_pwd	auth_error	true	200	200	exact	
facturador	companny_users_recover_pwd	malformed	true	200	200	exact	
facturador	companny_users_register	success	true	200	200	exact	
facturador	companny_users_register	validation_error	true	200	200	exact	
facturador	companny_users_register	auth_error	true	200	200	exact	
facturador	companny_users_register	malformed	true	200	200	exact	
facturador	companny_users_update_profile	success	true	200	200	exact	
facturador	companny_users_update_profile	validation_error	true	200	200	exact	
facturador	companny_users_update_profile	auth_error	true	200	200	exact	
facturador	companny_users_update_profile	malformed	true	200	200	exact	
facturador	company_change_env	success	true	200	200	exact	
facturador	company_change_env	validation_error	true	200	200	exact	
facturador	company_change_env	auth_error	true	200	200	exact	
facturador	company_change_env	malformed	true	200	200	exact	
facturador	company_get_env	success	true	200	200	exact	
facturador	company_get_env	validation_error	true	200	200	exact	
facturador	company_get_env	auth_error	true	200	200	exact	
facturador	company_get_env	malformed	true	200	200	exact	
facturador	company_get_env	success	true	200	200	exact	
facturador	company_get_env	validation_error	true	200	200	exact	
facturador	company_get_env	auth_error	true	200	200	exact	
facturador	company_get_env	malformed	true	200	200	exact	
facturador	company_prod_users	success	true	200	200	exact	
facturador	company_prod_users	validation_error	true	200	200	exact	
facturador	company_prod_users	auth_error	true	200	200	exact	
facturador	company_prod_users	malformed	true	200	200	exact	
facturador	company_stag_users	success	true	200	200	exact	
facturador	company_stag_users	validation_error	true	200	200	exact	
facturador	company_stag_users	auth_error	true	200	200	exact	
facturador	company_stag_users	malformed	true	200	200	exact	
facturador	copy_master_tables	success	true	403	403	exact	
facturador	copy_master_tables	validation_error	true	403	403	exact	
facturador	copy_master_tables	auth_error	true	403	403	exact	
facturador	copy_master_tables	malformed	true	403	403	exact	
facturador	delete_reciver	success	true	200	200	exact	
facturador	delete_reciver	validation_error	true	200	200	exact	
facturador	delete_reciver	auth_error	true	200	200	exact	
facturador	delete_reciver	malformed	true	200	200	exact	
facturador	getCompannyLocationInformation	success	true	200	200	exact	
facturador	getCompannyLocationInformation	validation_error	true	200	200	exact	
facturador	getCompannyLocationInformation	auth_error	true	200	200	exact	
facturador	getCompannyLocationInformation	malformed	true	200	200	exact	
facturador	getProductByCode	success	true	200	200	exact	
facturador	getProductByCode	validation_error	true	200	200	exact	
facturador	getProductByCode	auth_error	true	200	200	exact	
facturador	getProductByCode	malformed	true	200	200	exact	
facturador	getSucursales	success	true	403	403	exact	
facturador	getSucursales	validation_error	true	403	403	exact	
facturador	getSucursales	auth_error	true	403	403	exact	
facturador	getSucursales	malformed	true	403	403	exact	
facturador	getTerminales	success	true	403	403	exact	
facturador	getTerminales	validation_error	true	403	403	exact	
facturador	getTerminales	auth_error	true	403	403	exact	
facturador	getTerminales	malformed	true	403	403	exact	
facturador	getUnid	success	true	200	200	exact	
facturador	getUnid	validation_error	true	200	200	exact	
facturador	getUnid	auth_error	true	200	200	exact	
facturador	getUnid	malformed	true	200	200	exact	
facturador	getUserPermissionById	success	true	403	403	exact	
facturador	getUserPermissionById	validation_error	true	403	403	exact	
facturador	getUserPermissionById	auth_error	true	403	403	exact	
facturador	getUserPermissionById	malformed	true	403	403	exact	
facturador	getUsersCompanny	success	true	403	403	exact	
facturador	getUsersCompanny	validation_error	true	403	403	exact	
facturador	getUsersCompanny	auth_error	true	403	403	exact	
facturador	getUsersCompanny	malformed	true	403	403	exact	
facturador	get_active_receiver	success	true	200	200	exact	
facturador	get_active_receiver	validation_error	true	200	200	exact	
facturador	get_active_receiver	auth_error	true	200	200	exact	
facturador	get_active_receiver	malformed	true	200	200	exact	
facturador	get_all_privinces	success	true	200	200	exact	
facturador	get_all_privinces	validation_error	true	200	200	exact	
facturador	get_all_privinces	auth_error	true	200	200	exact	
facturador	get_all_privinces	malformed	true	200	200	exact	
facturador	get_cantons	success	true	200	200	exact	
facturador	get_cantons	validation_error	true	200	200	exact	
facturador	get_cantons	auth_error	true	200	200	exact	
facturador	get_cantons	malformed	true	200	200	exact	
facturador	get_companny_information	success	true	200	200	exact	
facturador	get_companny_information	validation_error	true	200	200	exact	
facturador	get_companny_information	auth_error	true	200	200	exact	
facturador	get_companny_information	malformed	true	200	200	exact	
facturador	get_companny_information_admin	success	true	200	200	exact	
facturador	get_companny_information_admin	validation_error	true	200	200	exact	
facturador	get_companny_information_admin	auth_error	true	200	200	exact	
facturador	get_companny_information_admin	malformed	true	200	200	exact	
facturador	get_district	success	true	200	200	exact	
facturador	get_district	validation_error	true	200	200	exact	
facturador	get_district	auth_error	true	200	200	exact	
facturador	get_district	malformed	true	200	200	exact	
facturador	get_inventory	success	true	200	200	exact	
facturador	get_inventory	validation_error	true	200	200	exact	
facturador	get_inventory	auth_error	true	200	200	exact	
facturador	get_inventory	malformed	true	200	200	exact	
facturador	get_neighborhood	success	true	200	200	exact	
facturador	get_neighborhood	validation_error	true	200	200	exact	
facturador	get_neighborhood	auth_error	true	200	200	exact	
facturador	get_neighborhood	malformed	true	200	200	exact	
facturador	get_prod_companny_credentials	success	true	200	200	exact	
facturador	get_prod_companny_credentials	validation_error	true	200	200	exact	
facturador	get_prod_companny_credentials	auth_error	true	200	200	exact	
facturador	get_prod_companny_credentials	malformed	true	200	200	exact	
facturador	get_prod_credentials	success	true	200	200	exact	
facturador	get_prod_credentials	validation_error	true	200	200	exact	
facturador	get_prod_credentials	auth_error	true	200	200	exact	
